2025-09-22 14:36:29,208 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.08ms | IP: 127.0.0.1
2025-09-22 14:36:29,238 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 27.65ms | IP: 127.0.0.1
2025-09-22 14:36:43,867 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 0.67ms | IP: 127.0.0.1
2025-09-22 14:37:09,130 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 25.49ms | IP: 127.0.0.1
2025-09-22 14:37:12,828 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.1ms | IP: 127.0.0.1
2025-09-22 14:37:12,833 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 1.01ms | IP: 127.0.0.1
2025-09-22 14:37:33,392 - API - INFO - GET /api/v1/stats | Status: 200 | Time: 1.27ms | IP: 127.0.0.1
2025-09-22 14:37:37,424 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.11ms | IP: 127.0.0.1
2025-09-22 14:37:37,427 - API - INFO - GET /api/v1/stats | Status: 200 | Time: 0.99ms | IP: 127.0.0.1
2025-09-22 14:40:25,048 - API - ERROR - GET /api/v1/stats | Status: 401 | Time: 0.16ms | IP: 127.0.0.1
2025-09-22 14:40:25,259 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 36.37ms | IP: 127.0.0.1
2025-09-22 14:40:25,376 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.12ms | IP: 127.0.0.1
2025-09-22 14:40:25,518 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.1ms | IP: 127.0.0.1
2025-09-22 14:40:25,575 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.09ms | IP: 127.0.0.1
2025-09-22 14:40:25,639 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.14ms | IP: 127.0.0.1
2025-09-22 14:40:29,327 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.08ms | IP: 127.0.0.1
2025-09-22 14:40:29,331 - API - ERROR - GET /api/v1/stats | Status: 401 | Time: 0.16ms | IP: 127.0.0.1
2025-09-22 14:41:22,999 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 29.12ms | IP: 127.0.0.1
2025-09-22 14:41:28,546 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.08ms | IP: 127.0.0.1
2025-09-22 14:41:28,552 - API - ERROR - GET /api/v1/stats | Status: 500 | Time: 2.48ms | IP: 127.0.0.1
2025-09-22 14:42:13,145 - API - INFO - GET /api/v1/stats | Status: 200 | Time: 1.68ms | IP: 127.0.0.1
2025-09-22 14:42:17,305 - API - INFO - GET /api/v1/health | Status: 200 | Time: 0.08ms | IP: 127.0.0.1
2025-09-22 14:42:17,309 - API - INFO - GET /api/v1/stats | Status: 200 | Time: 0.95ms | IP: 127.0.0.1
